Hood_ID,Population,lon,lat,District,d_lon,d_lat
98,"20,923",-79.3824021,43.6807356,Old Toronto,-79.3803231,43.6486795
89,"10,070",-79.477651,43.6508634,Old Toronto,-79.3803231,43.6486795
85,"21,849",-79.433297,43.6377789,Old Toronto,-79.3803231,43.6486795
70,"27,876",-79.3389603,43.65839889999999,Old Toronto,-79.3803231,43.6486795
63,"21,567",-79.2980808,43.670516,Old Toronto,-79.3803231,43.6486795
81,"16,556",-79.42076569999999,43.6493628,Old Toronto,-79.3803231,43.6486795
79,"7,607",-79.4017999,43.6622499,Old Toronto,-79.3803231,43.6486795
91,"11,098",-79.462985,43.6734529,Old Toronto,-79.3803231,43.6486795
64,"12,541",-79.3158093,43.6771933,Old Toronto,-79.3803231,43.6486795
94,"14,349",-79.4242597,43.6781933,Old Toronto,-79.3803231,43.6486795
100,"11,817",-79.398642,43.70643099999999,Old Toronto,-79.3803231,43.6486795
97,"12,528",-79.3979925,43.6872114,Old Toronto,-79.3803231,43.6486795
42,"27,695",-79.3435064,43.7372575,North York,-79.41107939999999,43.7615377
34,"15,873",-79.4568858,43.7628233,North York,-79.41107939999999,43.7615377
52,"21,396",-79.3828127,43.7782567,North York,-79.41107939999999,43.7615377
49,"13,154",-79.3825639,43.7948083,North York,-79.41107939999999,43.7615377
41,"9,266",-79.3718986,43.7359137,North York,-79.41107939999999,43.7615377
30,"17,757",-79.4810371,43.7010631,North York,-79.41107939999999,43.7615377
33,"16,472",-79.4472105,43.7346488,North York,-79.41107939999999,43.7615377
47,"27,051",-79.3530917,43.787323,North York,-79.41107939999999,43.7615377
26,"35,052",-79.4920495,43.7291039,North York,-79.41107939999999,43.7615377
32,"22,372",-79.4356719,43.7107135,North York,-79.41107939999999,43.7615377
44,"21,933",-79.33132959999999,43.7183965,North York,-79.41107939999999,43.7615377
25,"30,491",-79.5148972,43.7460212,North York,-79.41107939999999,43.7615377
53,"15,723",-79.3520831,43.7717943,North York,-79.41107939999999,43.7615377
48,"16,934",-79.35334189999999,43.8025095,North York,-79.41107939999999,43.7615377
21,"12,416",-79.55609749999999,43.7625561,North York,-79.41107939999999,43.7615377
22,"15,545",-79.5392699,43.737915,North York,-79.41107939999999,43.7615377
38,"16,164",-79.4225602,43.7589653,North York,-79.41107939999999,43.7615377
29,"10,111",-79.4805868,43.7145012,North York,-79.41107939999999,43.7615377
50,"16,097",-79.4026932,43.7948231,North York,-79.41107939999999,43.7615377
36,"23,831",-79.432249,43.7862071,North York,-79.41107939999999,43.7615377
45,"34,805",-79.32770699999999,43.7607001,North York,-79.41107939999999,43.7615377
23,"10,722",-79.5332169,43.721319,North York,-79.41107939999999,43.7615377
46,"15,818",-79.33341639999999,43.7845254,North York,-79.41107939999999,43.7615377
28,"9,941",-79.49817449999999,43.7107643,North York,-79.41107939999999,43.7615377
40,"17,812",-79.379003,43.76016480000001,North York,-79.41107939999999,43.7615377
43,"17,510",-79.3183887,43.7332536,North York,-79.41107939999999,43.7615377
35,"26,274",-79.4510518,43.7856327,North York,-79.41107939999999,43.7615377
51,"50,434",-79.4066592,43.7805839,North York,-79.41107939999999,43.7615377
37,"16,936",-79.41958509999999,43.7702427,North York,-79.41107939999999,43.7615377
27,"27,593",-79.47731089999999,43.7665624,North York,-79.41107939999999,43.7615377
112,"6,577",-79.4793538,43.6936641,York,-79.4503544,43.6956787
108,"14,257",-79.45184259999999,43.7007662,York,-79.4503544,43.6956787
109,"9,955",-79.4551278,43.6899047,York,-79.4503544,43.6956787
106,"14,365",-79.4280869,43.6945375,York,-79.4503544,43.6956787
110,"11,058",-79.4704028,43.6854635,York,-79.4503544,43.6956787
115,"13,593",-79.4897294,43.6870047,York,-79.4503544,43.6956787
107,"21,210",-79.44080749999999,43.6926279,York,-79.4503544,43.6956787
111,"22,246",-79.4955877,43.6761899,York,-79.4503544,43.6956787
113,"17,992",-79.51621899999999,43.7001669,York,-79.4503544,43.6956787
122,"22,291",-79.2623362,43.6930232,Toronto,-79.3831843,43.653226
24,"21,737",-79.49569531220838,43.69304957029157,Toronto,-79.3831843,43.653226
92,"14,133",-79.4461223,43.6772009,Toronto,-79.3831843,43.653226
66,"9,666",-79.3059729,43.6872633,Toronto,-79.3831843,43.653226
59,"17,180",-79.32656349999999,43.69058460000001,Toronto,-79.3831843,43.653226
5,"9,456",-79.55016719999999,43.7211906,Toronto,-79.3831843,43.653226
56,"16,828",-79.36808909999999,43.7048361,Toronto,-79.3831843,43.653226
2,"32,954",-79.58741049999999,43.74344869999999,Toronto,-79.3831843,43.653226
67,"7,804",-79.35490109999999,43.6796989,Toronto,-79.3831843,43.653226
16,"25,051",-79.50582419999999,43.6339386,Toronto,-79.3831843,43.653226
3,"10,360",-79.5652119,43.7371626,Toronto,-79.3831843,43.653226
31,"14,804",-79.4686062,43.7195937,Toronto,-79.3831843,43.653226
57,"11,499",-79.35527200000001,43.6885889,East York,-79.34166379999999,43.69120059999999
54,"18,675",-79.3101645,43.7060089,East York,-79.34166379999999,43.69120059999999
58,"9,233",-79.3359973,43.696283,East York,-79.34166379999999,43.69120059999999
61,"15,683",-79.2971452,43.6931415,East York,-79.34166379999999,43.69120059999999
55,"21,108",-79.3436414,43.7074985,East York,-79.34166379999999,43.69120059999999
60,"7,865",-79.31048489999999,43.6939053,East York,-79.34166379999999,43.69120059999999
75,"31,340",-79.3876391,43.6737958,Yonge Street,-79.4467502,43.9120105
77,"65,913",-79.39703,43.63601,Queens Quay West,-79.3895182,43.6382515
